,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,release_date,artists,sample_30s,name
802,0.653,0.151,2.0,-16.657,0,0.156,0.989,0.0,0.121,0.678,120.634,audio_features,4Kv5krOFkBEK9JaBJP7hVt,spotify:track:4Kv5krOFkBEK9JaBJP7hVt,https://api.spotify.com/v1/tracks/4Kv5krOFkBEK9JaBJP7hVt,https://api.spotify.com/v1/audio-analysis/4Kv5krOFkBEK9JaBJP7hVt,143693,4,,,,https://p.scdn.co/mp3-preview/97959b4c304f8f6d89161f3a702ec826b711f1d7?cid=f0967aa1c7064a36856282c85b3644a4,El Cuchillo del Plata - Remasterizado
803,0.687,0.237,10.0,-8.725,1,0.0678,0.972,0.0,0.0855,0.749,94.444,audio_features,4MMJVh055Vo5yA83OtvMGM,spotify:track:4MMJVh055Vo5yA83OtvMGM,https://api.spotify.com/v1/tracks/4MMJVh055Vo5yA83OtvMGM,https://api.spotify.com/v1/audio-analysis/4MMJVh055Vo5yA83OtvMGM,172339,4,,,,https://p.scdn.co/mp3-preview/e39dd79ab418b1d81de4702a2e6af2a7b880634f?cid=f0967aa1c7064a36856282c85b3644a4,I Got 'It' But It Don't Do Me No Good
804,0.805,0.293,8.0,-9.23,1,0.0968,0.978,0.000248,0.0946,0.84,84.558,audio_features,4PhCv5cFe0F1vUXLOQx20d,spotify:track:4PhCv5cFe0F1vUXLOQx20d,https://api.spotify.com/v1/tracks/4PhCv5cFe0F1vUXLOQx20d,https://api.spotify.com/v1/audio-analysis/4PhCv5cFe0F1vUXLOQx20d,184320,4,,,,https://p.scdn.co/mp3-preview/1e3ceff5b7da5d8c501f7b63c649014ce774e787?cid=f0967aa1c7064a36856282c85b3644a4,Fifteen Cents
805,0.613,0.114,4.0,-17.569,1,0.184,0.996,0.829,0.247,0.629,163.646,audio_features,4UrrnH02uRio9VJaOX2aAZ,spotify:track:4UrrnH02uRio9VJaOX2aAZ,https://api.spotify.com/v1/tracks/4UrrnH02uRio9VJaOX2aAZ,https://api.spotify.com/v1/audio-analysis/4UrrnH02uRio9VJaOX2aAZ,183133,4,,,,https://p.scdn.co/mp3-preview/a5ed6278bf29caac3fea4bae7c3250ae8165b8ba?cid=f0967aa1c7064a36856282c85b3644a4,Droppin' Shucks
806,0.515,0.222,0.0,-16.918,0,0.0575,0.821,0.00193,0.19,0.35,98.358,audio_features,3BFRqZFLSrqtQr6cjHbAxU,spotify:track:3BFRqZFLSrqtQr6cjHbAxU,https://api.spotify.com/v1/tracks/3BFRqZFLSrqtQr6cjHbAxU,https://api.spotify.com/v1/audio-analysis/3BFRqZFLSrqtQr6cjHbAxU,237773,4,,,,https://p.scdn.co/mp3-preview/dd6697a8912a5ccb54cba3d48903eeecef313693?cid=f0967aa1c7064a36856282c85b3644a4,Ain't Misbehavin'
807,0.651,0.0867,5.0,-18.882,1,0.048,0.725,6.54e-05,0.169,0.54,87.221,audio_features,0eInL1bLAFdHJDL04R0OCP,spotify:track:0eInL1bLAFdHJDL04R0OCP,https://api.spotify.com/v1/tracks/0eInL1bLAFdHJDL04R0OCP,https://api.spotify.com/v1/audio-analysis/0eInL1bLAFdHJDL04R0OCP,183560,4,,,,https://p.scdn.co/mp3-preview/46e7961a1485d0b75b9d4324e948a5c2fa8f28fd?cid=f0967aa1c7064a36856282c85b3644a4,Two Sleepy People
808,0.731,0.179,5.0,-17.177,1,0.0634,0.912,0.00752,0.111,0.789,154.709,audio_features,0EYRLGRgsgnKetAVziaaLT,spotify:track:0EYRLGRgsgnKetAVziaaLT,https://api.spotify.com/v1/tracks/0EYRLGRgsgnKetAVziaaLT,https://api.spotify.com/v1/audio-analysis/0EYRLGRgsgnKetAVziaaLT,158427,4,,,,https://p.scdn.co/mp3-preview/cf03604e97e703761df747a00e044b8d3ffbcdc8?cid=f0967aa1c7064a36856282c85b3644a4,Honeysuckle Rose
809,0.778,0.101,0.0,-20.193,1,0.0548,0.917,0.00199,0.147,0.67,115.347,audio_features,5YZpAH2jWtOOvbe1jv936Q,spotify:track:5YZpAH2jWtOOvbe1jv936Q,https://api.spotify.com/v1/tracks/5YZpAH2jWtOOvbe1jv936Q,https://api.spotify.com/v1/audio-analysis/5YZpAH2jWtOOvbe1jv936Q,209133,4,,,,https://p.scdn.co/mp3-preview/46f9c06dff6ebc32d416dbe1ba5903cac9b8639b?cid=f0967aa1c7064a36856282c85b3644a4,I'm Gonna Sit Right Down and Write Myself a Letter
810,0.715,0.0885,0.0,-20.028,1,0.191,0.728,2.55e-06,0.125,0.629,117.142,audio_features,0fkfPggXhmXEkzCq0170MQ,spotify:track:0fkfPggXhmXEkzCq0170MQ,https://api.spotify.com/v1/tracks/0fkfPggXhmXEkzCq0170MQ,https://api.spotify.com/v1/audio-analysis/0fkfPggXhmXEkzCq0170MQ,184053,4,,,,https://p.scdn.co/mp3-preview/8f91f0a96b96bfa84b03a9a7fef5ad167ca78742?cid=f0967aa1c7064a36856282c85b3644a4,Your Feet's Too Big
811,0.737,0.287,10.0,-11.605,1,0.0326,0.987,0.282,0.0808,0.83,108.152,audio_features,4BforxQIGJnNduf8sjkLGw,spotify:track:4BforxQIGJnNduf8sjkLGw,https://api.spotify.com/v1/tracks/4BforxQIGJnNduf8sjkLGw,https://api.spotify.com/v1/audio-analysis/4BforxQIGJnNduf8sjkLGw,189427,4,,,,https://p.scdn.co/mp3-preview/c791a36aa072770754afeddb1d986fe5b7cd7148?cid=f0967aa1c7064a36856282c85b3644a4,Sunny
812,0.751,0.274,5.0,-13.229,1,0.0863,0.753,0.543,0.0863,0.804,173.782,audio_features,4NgQxw0duwOJhmovUZu8zJ,spotify:track:4NgQxw0duwOJhmovUZu8zJ,https://api.spotify.com/v1/tracks/4NgQxw0duwOJhmovUZu8zJ,https://api.spotify.com/v1/audio-analysis/4NgQxw0duwOJhmovUZu8zJ,185693,4,,,,https://p.scdn.co/mp3-preview/53502f7523d7a9000d90c29ae12315f30a86df9c?cid=f0967aa1c7064a36856282c85b3644a4,Functionizin'
813,0.74,0.319,8.0,-8.707,1,0.119,0.931,0.869,0.0507,0.89,95.699,audio_features,43QRJNdGe4GaO0ucHHQnmS,spotify:track:43QRJNdGe4GaO0ucHHQnmS,https://api.spotify.com/v1/tracks/43QRJNdGe4GaO0ucHHQnmS,https://api.spotify.com/v1/audio-analysis/43QRJNdGe4GaO0ucHHQnmS,183960,4,,,,https://p.scdn.co/mp3-preview/4aa35b744770211e5c2c62aea1e242eb41d4f501?cid=f0967aa1c7064a36856282c85b3644a4,Struttin' with Some Barbecue - 78 rpm Version
814,0.602,0.351,5.0,-7.769,1,0.167,0.971,0.345,0.142,0.917,181.591,audio_features,6v27P8xpwlYSaaV56levKN,spotify:track:6v27P8xpwlYSaaV56levKN,https://api.spotify.com/v1/tracks/6v27P8xpwlYSaaV56levKN,https://api.spotify.com/v1/audio-analysis/6v27P8xpwlYSaaV56levKN,175293,4,,,,https://p.scdn.co/mp3-preview/b4b1fc657e086f2b44c84c028bdb1196f567b843?cid=f0967aa1c7064a36856282c85b3644a4,Potato Head Blues
